source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
15674294	VFB_001001ro	BAlp4 s 1 Right (L1EM:15674294)	['BAlp4 lineage neuron']						
12452356	VFB_00102f09	BAlc post ascending 2 left (L1EM:12452356)	['BAlc lineage neuron']						
16851577	VFB_00102fay	DALd descending 5 left; DALd_l  7 (L1EM:16851577)	['DALd lineage neuron']						
17545905	VFB_001001v3	BAlc post s 1 Right (L1EM:17545905)	['BAlc lineage neuron']						
12367292	VFB_001001il	CM4 s ppFB 8 Right - ends before 601  (L1EM:12367292)	['CM4 lineage neuron']						
17360296	VFB_00102fep	DALv1_PB4_left (L1EM:17360296)	['DALv1 lineage neuron']						
6154921	VFB_00102enz	DALd sparse descending right; DALd_r 3 neuron 6154922 (L1EM:6154921)	['DALd lineage neuron']						
15119833	VFB_001001rb	DALd s 4 Left (L1EM:15119833)	['DALd lineage neuron']						
6250655	VFB_00102eoa	BAlc post ascending 2 right (L1EM:6250655)	['BAlc lineage neuron']						
12279909	VFB_00102ezm	BLAl F neuron 2 left (L1EM:12279909)	['BLAl1 lineage neuron']						
11126336	VFB_001001hp	DPMm1 ppFB s 3 Right (L1EM:11126336)	['DPMm1 lineage neuron']						
13345002	VFB_001001kj	DPMpm1 s 5 Right (L1EM:13345002)	['DPMpm1 lineage neuron']						
14995061	VFB_00102f41	BLAvm bilateral neuron 3 left (L1EM:14995061)	['BLAvm lineage neuron']						
17728642	VFB_001001w7	BAlc post s 4 Left (L1EM:17728642)	['BAlc lineage neuron']						
10011972	VFB_001001gd	CM4 s loSM 4 Left (L1EM:10011972)	['CM4 lineage neuron']						
17470004	VFB_001001u9	DPMpm1 s 1 Left (L1EM:17470004)	['DPMpm1 lineage neuron']						
14628429	VFB_001001p4	CM4 s ppFB 9 Right (L1EM:14628429)	['CM4 lineage neuron']						
17545755	VFB_001001uw	BAlc post s 8 Right (L1EM:17545755)	['BAlc lineage neuron']						
10994942	VFB_001001hi	DPMm1 upp comm s 2 Left (L1EM:10994942)	['DPMm1 lineage neuron']						
15078682	VFB_001001r5	BAmd1 v s 2 Left (L1EM:15078682)	['BAmd1 lineage neuron']						
16952671	VFB_00102fbw	DALd midloop 2 left; DALd_l  13 (L1EM:16952671)	['DALd lineage neuron']						
9822593	VFB_00102euj	BLAvm bilateral neuron 2 left (L1EM:9822593)	['BLAvm lineage neuron']						
17654645	VFB_00102fgf	BLAvm bilateral neuron 6 right (L1EM:17654645)	['BLAvm lineage neuron']						
13840191	VFB_001001lf	BAmd2 v s 8 Right (L1EM:13840191)	['BAmd2 lineage neuron']						
